feature,importance,std
pX_deltaEta0,0.00011944444444439428,6.922186552431858e-05
pX_wtots1,0.00010833333333328809,0.0001064653772040875
pX_topoetcone20,0.00010833333333328809,0.00011944444444442708
pX_E_Lr3_HiG,0.00010555555555550323,0.00010153148268051673
pX_core57cellsEnergyCorrection,9.722222222217081e-05,8.448281292082181e-05
pX_emins1,9.444444444439704e-05,7.973722274670759e-05
pX_nCells_Lr1_HiG,9.166666666661216e-05,8.788495566419428e-05
pX_E7x7_Lr2,8.611111111105352e-05,6.966631224434347e-05
pX_E7x7_Lr0,8.611111111105352e-05,9.497400554043824e-05
pX_etcone40,8.333333333327974e-05,8.60662965823919e-05
pX_OQ,8.055555555551708e-05,6.0156688410277545e-05
pX_E_Lr2_HiG,8.055555555550598e-05,5.7534208825578345e-05
p_Rhad1,8.055555555550598e-05,0.00014404324624957312
pX_neflowisol40,6.388888888884115e-05,0.00012363451713482733
pX_f1core,6.111111111106737e-05,0.00010599324460188475
pX_DeltaE,6.111111111106737e-05,7.328281087927331e-05
p_weta2,5.83333333332714e-05,0.00010573814617042873
pX_neflowisolcoreConeEnergyCorrection,5.555555555549763e-05,9.938079899997454e-05
pX_barys1,4.722222222219852e-05,5.422005915540585e-05
pX_deltaPhiRescaled0,4.722222222218742e-05,6.922186552432392e-05
pX_topoetcone40ptCorrection,4.444444444439144e-05,0.00011992796191623868
pX_E3x5_Lr3,4.4444444444380336e-05,9.718253158077032e-05
p_etcone30,4.1666666666606567e-05,0.00016065548601023477
pX_E7x7_Lr3,3.8888888888843896e-05,0.00013158576980363724
pX_deltaPhiRescaled1,3.055555555551148e-05,0.00013858299648074064
pX_deltaPhiRescaled3,3.055555555550038e-05,4.72222222222266e-05
pX_e235,3.055555555550038e-05,7.900812585180954e-05
pX_E7x11_Lr2,3.055555555550038e-05,0.00011211353372561786
pX_E5x7_Lr3,2.777777777773771e-05,0.00012297746456209428
pX_E_Lr2_MedG,1.94444444444164e-05,1.778645621506559e-05
pX_E_Lr1_HiG,1.3888888888846651e-05,0.00018767995479564302
pX_pos7,1.1111111111061777e-05,7.973722274672075e-05
pX_E7x7_Lr1,5.555555555503133e-06,0.0001295767087743573
pX_maxEcell_y,2.77777777771826e-06,6.966631224437931e-05
pX_E_Lr0_MedG,0.0,0.0
pX_E_Lr1_LowG,0.0,0.0
pX_nCells_Lr2_LowG,0.0,0.0
pX_nCells_Lr1_LowG,0.0,0.0
pX_nCells_Lr0_MedG,0.0,0.0
pX_nCells_Lr3_MedG,0.0,0.0
pX_E_Lr3_MedG,0.0,0.0
pX_E_Lr2_LowG,0.0,0.0
pX_ehad1,-2.777777777829282e-06,0.00011616957592403172
